timestamp,consumption_kwh
2024-01-01 00:00:00,0.3018
2024-01-01 00:15:00,0.3022
2024-01-01 00:30:00,0.222
2024-01-01 00:45:00,0.2142
2024-01-01 01:00:00,0.1775
2024-01-01 01:15:00,0.2539
2024-01-01 01:30:00,0.2234
2024-01-01 01:45:00,0.2172
2024-01-01 02:00:00,0.1745
2024-01-01 02:15:00,0.1649
2024-01-01 02:30:00,0.11
2024-01-01 02:45:00,0.1619
2024-01-01 03:00:00,0.0928
2024-01-01 03:15:00,0.0953
2024-01-01 03:30:00,0.0963
2024-01-01 03:45:00,0.0851
2024-01-01 04:00:00,0.1172
2024-01-01 04:15:00,0.0963
2024-01-01 04:30:00,0.1025
2024-01-01 04:45:00,0.1044
2024-01-01 05:00:00,0.1422
2024-01-01 05:15:00,0.1115
2024-01-01 05:30:00,0.1302
2024-01-01 05:45:00,0.1539
2024-01-01 06:00:00,0.1257
2024-01-01 06:15:00,0.1635
2024-01-01 06:30:00,0.1996
2024-01-01 06:45:00,0.229
2024-01-01 07:00:00,0.2267
2024-01-01 07:15:00,0.2285
2024-01-01 07:30:00,0.2898
2024-01-01 07:45:00,0.276
2024-01-01 08:00:00,0.3006
2024-01-01 08:15:00,0.3232
2024-01-01 08:30:00,0.3378
2024-01-01 08:45:00,0.3472
2024-01-01 09:00:00,0.386
2024-01-01 09:15:00,0.371
2024-01-01 09:30:00,0.4011
2024-01-01 09:45:00,0.4187
2024-01-01 10:00:00,0.4227
2024-01-01 10:15:00,0.4563
2024-01-01 10:30:00,0.4692
2024-01-01 10:45:00,0.4779
2024-01-01 11:00:00,0.4817
2024-01-01 11:15:00,0.5024
2024-01-01 11:30:00,0.5302
2024-01-01 11:45:00,0.5192
2024-01-01 12:00:00,0.4373
2024-01-01 12:15:00,0.5218
2024-01-01 12:30:00,0.4588
2024-01-01 12:45:00,0.4558
2024-01-01 13:00:00,0.4873
2024-01-01 13:15:00,0.4494
2024-01-01 13:30:00,0.4974
2024-01-01 13:45:00,0.4685
2024-01-01 14:00:00,0.4252
2024-01-01 14:15:00,0.394
2024-01-01 14:30:00,0.4177
2024-01-01 14:45:00,0.4188
2024-01-01 15:00:00,0.3785
2024-01-01 15:15:00,0.3956
2024-01-01 15:30:00,0.3497
2024-01-01 15:45:00,0.3356
2024-01-01 16:00:00,0.2939
2024-01-01 16:15:00,0.288
2024-01-01 16:30:00,0.2566
2024-01-01 16:45:00,0.2044
2024-01-01 17:00:00,0.2733
2024-01-01 17:15:00,0.2036
2024-01-01 17:30:00,0.1926
2024-01-01 17:45:00,0.2024
2024-01-01 18:00:00,0.1654
2024-01-01 18:15:00,0.1577
2024-01-01 18:30:00,0.1556
2024-01-01 18:45:00,0.1223
2024-01-01 19:00:00,0.18
2024-01-01 19:15:00,0.1685
2024-01-01 19:30:00,0.1705
2024-01-01 19:45:00,0.2343
2024-01-01 20:00:00,0.2695
2024-01-01 20:15:00,0.3054
2024-01-01 20:30:00,0.4061
2024-01-01 20:45:00,0.4982
2024-01-01 21:00:00,0.6153
2024-01-01 21:15:00,0.7387
2024-01-01 21:30:00,0.8758
2024-01-01 21:45:00,0.9694
2024-01-01 22:00:00,1.1195
2024-01-01 22:15:00,1.2137
2024-01-01 22:30:00,1.334
2024-01-01 22:45:00,1.3625
2024-01-01 23:00:00,1.3797
2024-01-01 23:15:00,1.4167
2024-01-01 23:30:00,1.447
2024-01-01 23:45:00,1.3624
2024-01-02 00:00:00,0.3017
2024-01-02 00:15:00,0.3301
2024-01-02 00:30:00,0.2571
2024-01-02 00:45:00,0.2382
2024-01-02 01:00:00,0.2405
2024-01-02 01:15:00,0.2119
2024-01-02 01:30:00,0.1874
2024-01-02 01:45:00,0.1637
2024-01-02 02:00:00,0.1573
2024-01-02 02:15:00,0.1665
2024-01-02 02:30:00,0.1075
2024-01-02 02:45:00,0.1102
2024-01-02 03:00:00,0.1421
2024-01-02 03:15:00,0.1592
2024-01-02 03:30:00,0.067
2024-01-02 03:45:00,0.1091
2024-01-02 04:00:00,0.1326
2024-01-02 04:15:00,0.0965
2024-01-02 04:30:00,0.0923
2024-01-02 04:45:00,0.1335
2024-01-02 05:00:00,0.1042
2024-01-02 05:15:00,0.1092
2024-01-02 05:30:00,0.1223
2024-01-02 05:45:00,0.1176
2024-01-02 06:00:00,0.1107
2024-01-02 06:15:00,0.1962
2024-01-02 06:30:00,0.2226
2024-01-02 06:45:00,0.2102
2024-01-02 07:00:00,0.2194
2024-01-02 07:15:00,0.2519
2024-01-02 07:30:00,0.2574
2024-01-02 07:45:00,0.2454
2024-01-02 08:00:00,0.2758
2024-01-02 08:15:00,0.3281
2024-01-02 08:30:00,0.3312
2024-01-02 08:45:00,0.3269
2024-01-02 09:00:00,0.3478
2024-01-02 09:15:00,0.4133
2024-01-02 09:30:00,0.3806
2024-01-02 09:45:00,0.4496
2024-01-02 10:00:00,0.4511
2024-01-02 10:15:00,0.4346
2024-01-02 10:30:00,0.4599
2024-01-02 10:45:00,0.4795
2024-01-02 11:00:00,0.492
2024-01-02 11:15:00,0.4965
2024-01-02 11:30:00,0.5247
2024-01-02 11:45:00,0.5176
2024-01-02 12:00:00,0.4898
2024-01-02 12:15:00,0.4956
2024-01-02 12:30:00,0.4779
2024-01-02 12:45:00,0.4809
2024-01-02 13:00:00,0.4863
2024-01-02 13:15:00,0.4294
2024-01-02 13:30:00,0.4683
2024-01-02 13:45:00,0.4537
2024-01-02 14:00:00,0.4365
2024-01-02 14:15:00,0.4008
2024-01-02 14:30:00,0.3996
2024-01-02 14:45:00,0.379
2024-01-02 15:00:00,0.3753
2024-01-02 15:15:00,0.3094
2024-01-02 15:30:00,0.3324
2024-01-02 15:45:00,0.3291
2024-01-02 16:00:00,0.2823
2024-01-02 16:15:00,0.2616
2024-01-02 16:30:00,0.2758
2024-01-02 16:45:00,0.295
2024-01-02 17:00:00,0.2361
2024-01-02 17:15:00,0.2196
2024-01-02 17:30:00,0.1913
2024-01-02 17:45:00,0.1912
2024-01-02 18:00:00,0.1751
2024-01-02 18:15:00,0.1347
2024-01-02 18:30:00,0.1545
2024-01-02 18:45:00,0.1637
