value,value_diff,value_rolling_mean_3,value_volatility_3,value_ewm_3,value_rolling_mean_6,value_volatility_6,value_ewm_6,value_rolling_mean_12,value_volatility_12,value_ewm_12,value_rolling_mean_24,value_volatility_24,value_ewm_24,drift_flag,time_since_last_spike
0.544,0.0,0.455,0.0,0.544,0.37133333333333335,0.0,0.544,0.4096666666666667,0.0,0.544,0.5057083333333333,0.0,0.544,0,1
0.397,-0.14700000000000002,0.455,0.0,0.47050000000000003,0.37133333333333335,0.0,0.502,0.4096666666666667,0.0,0.5213846153846154,0.5057083333333333,0.0,0.53224,1,0
0.424,0.02699999999999997,0.455,0.07824960063795855,0.44725000000000004,0.37133333333333335,0.0,0.47971428571428576,0.4096666666666667,0.0,0.5064023668639054,0.5057083333333333,0.0,0.5235808000000001,1,0
0.288,-0.136,0.36966666666666664,0.07200231477760512,0.367625,0.37133333333333335,0.0,0.42493877551020415,0.4096666666666667,0.0,0.4728020027309969,0.5057083333333333,0.0,0.5047343360000001,1,0
0.35,0.062,0.3539999999999999,0.06808817812219678,0.3588125,0.37133333333333335,0.0,0.40352769679300293,0.4096666666666667,0.0,0.4539093869262282,0.5057083333333333,0.0,0.4923555891200001,1,0
0.225,-0.12499999999999997,0.2876666666666667,0.06250066666311108,0.29190625,0.37133333333333335,0.11140855742117241,0.35251978342357354,0.4096666666666667,0.0,0.4186925581683469,0.5057083333333333,0.0,0.47096714199040013,0,1
0.245,0.01999999999999999,0.2733333333333333,0.06714412359494555,0.26845312499999996,0.3215,0.08161556224152353,0.32179984530255257,0.4096666666666667,0.0,0.3919706261424474,0.5057083333333333,0.0,0.45288977063116814,0,2
0.475,0.22999999999999998,0.315,0.138924439894498,0.37172656249999997,0.33449999999999996,0.10015338236924402,0.3655713180732518,0.4096666666666667,0.0,0.4047443759666863,0.5057083333333333,0.0,0.4546585889806747,1,0
0.468,-0.006999999999999951,0.39599999999999996,0.13081666560496025,0.41986328125,0.3418333333333334,0.1092179777631259,0.3948366557666084,0.4096666666666667,0.0,0.4144760104333499,0.5057083333333333,0.0,0.45572590186222073,0,1
0.53,0.062,0.49099999999999994,0.033955853692699,0.47493164062500004,0.3821666666666667,0.12836731151919736,0.433454754119006,0.4096666666666667,0.0,0.43224893190514224,0.5057083333333333,0.0,0.4616678297132431,0,2
0.468,-0.062,0.48866666666666664,0.03579571668975652,0.47146582031250006,0.4018333333333333,0.13145556917326348,0.44332482437071863,0.4096666666666667,0.0,0.4377490962274281,0.5057083333333333,0.0,0.46217440333618365,0,3
0.502,0.033999999999999975,0.5,0.0310483493925197,0.48673291015625003,0.44799999999999995,0.10235037860213307,0.46008916026479907,0.4096666666666667,0.1095738300983599,0.44763385065397765,0.5057083333333333,0.0,0.465360451069289,0,4
0.565,0.06299999999999994,0.5116666666666666,0.04921720566360209,0.525866455078125,0.5013333333333333,0.03947488653139651,0.49006368590342786,0.4114166666666666,0.11205393046802656,0.4656901813225965,0.5057083333333333,0.0,0.47333161498374593,0,5
0.522,-0.04299999999999993,0.5296666666666666,0.03219213154379971,0.5239332275390625,0.5091666666666667,0.03783340675470065,0.49918834707387705,0.42183333333333334,0.11632074256776025,0.4743532303498893,0.5057083333333333,0.0,0.4772250857850463,0,6
0.556,0.03400000000000003,0.5476666666666666,0.0226789182575647,0.5399666137695313,0.5238333333333333,0.03567865842021848,0.5154202479099121,0.43283333333333335,0.12261531369088915,0.48691427183452174,0.5057083333333333,0.0,0.4835270789222426,0,7
