timestamp,consumption_kwh
2012-02-01 00:00:00,0.544
2012-02-01 00:30:00,0.397
2012-02-01 01:00:00,0.424
2012-02-01 01:30:00,0.288
2012-02-01 02:00:00,0.35
2012-02-01 02:30:00,0.225
2012-02-01 03:00:00,0.245
2012-02-01 03:30:00,0.475
2012-02-01 04:00:00,0.468
2012-02-01 04:30:00,0.53
2012-02-01 05:00:00,0.468
2012-02-01 05:30:00,0.502
2012-02-01 06:00:00,0.565
2012-02-01 06:30:00,0.522
2012-02-01 07:00:00,0.556
2012-02-01 07:30:00,0.753
2012-02-01 08:00:00,2.178
2012-02-01 08:30:00,0.592
2012-02-01 09:00:00,0.529
2012-02-01 09:30:00,0.354
2012-02-01 10:00:00,0.274
2012-02-01 10:30:00,0.335
2012-02-01 11:00:00,0.288
2012-02-01 11:30:00,0.275
2012-02-01 12:00:00,0.279
2012-02-01 12:30:00,1.448
2012-02-01 13:00:00,0.52
2012-02-01 13:30:00,1.01
2012-02-01 14:00:00,0.89
2012-02-01 14:30:00,0.226
2012-02-01 15:00:00,0.75
2012-02-01 15:30:00,0.977
2012-02-01 16:00:00,0.301
2012-02-01 16:30:00,2.446
2012-02-01 17:00:00,2.349
2012-02-01 17:30:00,1.233
2012-02-01 18:00:00,1.216
2012-02-01 18:30:00,1.894
2012-02-01 19:00:00,1.644
2012-02-01 19:30:00,3.171
2012-02-01 20:00:00,1.764
2012-02-01 20:30:00,1.884
2012-02-01 21:00:00,1.499
2012-02-01 21:30:00,0.772
2012-02-01 22:00:00,0.32
2012-02-01 22:30:00,0.498
2012-02-01 23:00:00,0.637
2012-02-01 23:30:00,1.033
2012-02-02 00:00:00,0.606
2012-02-02 00:30:00,0.637
2012-02-02 01:00:00,0.524
2012-02-02 01:30:00,0.232
2012-02-02 02:00:00,0.222
2012-02-02 02:30:00,0.209
2012-02-02 03:00:00,0.214
2012-02-02 03:30:00,0.238
2012-02-02 04:00:00,0.19
2012-02-02 04:30:00,0.275
2012-02-02 05:00:00,0.29
2012-02-02 05:30:00,0.268
2012-02-02 06:00:00,0.293
2012-02-02 06:30:00,0.258
2012-02-02 07:00:00,0.343
2012-02-02 07:30:00,0.788
2012-02-02 08:00:00,1.833
2012-02-02 08:30:00,0.407
2012-02-02 09:00:00,0.332
2012-02-02 09:30:00,0.29
2012-02-02 10:00:00,0.245
2012-02-02 10:30:00,0.282
2012-02-02 11:00:00,0.238
2012-02-02 11:30:00,0.276
2012-02-02 12:00:00,0.232
2012-02-02 12:30:00,0.286
2012-02-02 13:00:00,0.311
2012-02-02 13:30:00,0.831
2012-02-02 14:00:00,1.739
2012-02-02 14:30:00,0.285
2012-02-02 15:00:00,1.047
2012-02-02 15:30:00,3.004
2012-02-02 16:00:00,1.593
2012-02-02 16:30:00,2.36
2012-02-02 17:00:00,4.16
2012-02-02 17:30:00,6.7
2012-02-02 18:00:00,4.216
2012-02-02 18:30:00,3.48
2012-02-02 19:00:00,1.641
2012-02-02 19:30:00,3.646
2012-02-02 20:00:00,2.341
2012-02-02 20:30:00,2.514
2012-02-02 21:00:00,1.982
2012-02-02 21:30:00,3.809
2012-02-02 22:00:00,1.849
2012-02-02 22:30:00,1.146
2012-02-02 23:00:00,1.016
2012-02-02 23:30:00,0.926
2012-02-03 00:00:00,0.518
