timestamp,consumption_kwh
2012-02-01 14:00:00,1.405
2012-02-01 14:30:00,1.755
2012-02-01 15:00:00,1.406
2012-02-01 15:30:00,0.979
2012-02-01 16:00:00,0.188
2012-02-01 16:30:00,0.35
2012-02-01 17:00:00,0.372
2012-02-01 17:30:00,1.866
2012-02-01 18:00:00,1.994
2012-02-01 18:30:00,1.574
2012-02-01 19:00:00,1.131
2012-02-01 19:30:00,1.419
2012-02-01 20:00:00,1.156
2012-02-01 20:30:00,1.029
2012-02-01 21:00:00,0.945
2012-02-01 21:30:00,1.009
2012-02-01 22:00:00,0.798
2012-02-01 22:30:00,0.657
2012-02-01 23:00:00,0.661
2012-02-01 23:30:00,1.231
2012-02-02 00:00:00,1.612
2012-02-02 00:30:00,0.258
2012-02-02 01:00:00,0.202
2012-02-02 01:30:00,0.206
2012-02-02 02:00:00,0.165
2012-02-02 02:30:00,0.236
2012-02-02 03:00:00,0.173
2012-02-02 03:30:00,0.159
2012-02-02 04:00:00,0.221
2012-02-02 04:30:00,0.183
2012-02-02 05:00:00,0.231
2012-02-02 05:30:00,0.362
2012-02-02 06:00:00,0.29
2012-02-02 06:30:00,0.344
2012-02-02 07:00:00,0.324
2012-02-02 07:30:00,1.403
2012-02-02 08:00:00,1.322
2012-02-02 08:30:00,2.299
2012-02-02 09:00:00,1.271
2012-02-02 09:30:00,1.783
2012-02-02 10:00:00,1.108
2012-02-02 10:30:00,1.188
2012-02-02 11:00:00,1.859
2012-02-02 11:30:00,0.469
2012-02-02 12:00:00,0.133
2012-02-02 12:30:00,0.473
2012-02-02 13:00:00,1.527
2012-02-02 13:30:00,0.392
2012-02-02 14:00:00,0.366
2012-02-02 14:30:00,0.42
2012-02-02 15:00:00,0.372
2012-02-02 15:30:00,0.399
2012-02-02 16:00:00,1.108
2012-02-02 16:30:00,1.704
2012-02-02 17:00:00,2.129
2012-02-02 17:30:00,2.599
2012-02-02 18:00:00,2.139
2012-02-02 18:30:00,2.131
2012-02-02 19:00:00,1.089
2012-02-02 19:30:00,1.084
2012-02-02 20:00:00,2.171
2012-02-02 20:30:00,0.768
2012-02-02 21:00:00,0.88
2012-02-02 21:30:00,0.886
2012-02-02 22:00:00,0.927
2012-02-02 22:30:00,0.449
2012-02-02 23:00:00,0.442
2012-02-02 23:30:00,0.328
2012-02-03 00:00:00,0.274
2012-02-03 00:30:00,0.363
2012-02-03 01:00:00,0.342
2012-02-03 01:30:00,0.376
2012-02-03 02:00:00,0.351
2012-02-03 02:30:00,0.335
2012-02-03 03:00:00,0.218
2012-02-03 03:30:00,0.149
2012-02-03 04:00:00,0.211
2012-02-03 04:30:00,0.241
2012-02-03 05:00:00,0.223
2012-02-03 05:30:00,0.354
2012-02-03 06:00:00,0.301
2012-02-03 06:30:00,0.342
2012-02-03 07:00:00,0.374
2012-02-03 07:30:00,1.18
2012-02-03 08:00:00,0.843
2012-02-03 08:30:00,1.931
2012-02-03 09:00:00,1.343
2012-02-03 09:30:00,0.665
2012-02-03 10:00:00,0.521
2012-02-03 10:30:00,0.537
2012-02-03 11:00:00,0.367
2012-02-03 11:30:00,0.425
2012-02-03 12:00:00,0.243
2012-02-03 12:30:00,0.224
2012-02-03 13:00:00,0.198
2012-02-03 13:30:00,0.741
2012-02-03 14:00:00,0.37
2012-02-03 14:30:00,0.646
2012-02-03 15:00:00,0.663
2012-02-03 15:30:00,0.472
2012-02-03 16:00:00,1.034
2012-02-03 16:30:00,1.614
2012-02-03 17:00:00,2.486
2012-02-03 17:30:00,1.762
2012-02-03 18:00:00,1.57
2012-02-03 18:30:00,1.635
2012-02-03 19:00:00,2.096
2012-02-03 19:30:00,1.856
2012-02-03 20:00:00,2.079
2012-02-03 20:30:00,2.43
2012-02-03 21:00:00,1.1
2012-02-03 21:30:00,1.143
