timestamp,consumption_kwh
2012-02-01 00:00:00,0.553
2012-02-01 00:30:00,0.637
2012-02-01 01:00:00,0.817
2012-02-01 01:30:00,0.74
2012-02-01 02:00:00,0.475
2012-02-01 02:30:00,0.203
2012-02-01 03:00:00,0.102
2012-02-01 03:30:00,0.182
2012-02-01 04:00:00,0.142
2012-02-01 04:30:00,0.087
2012-02-01 05:00:00,0.047
2012-02-01 05:30:00,0.095
2012-02-01 06:00:00,0.083
2012-02-01 06:30:00,0.158
2012-02-01 07:00:00,0.141
2012-02-01 07:30:00,0.177
2012-02-01 08:00:00,0.289
2012-02-01 08:30:00,0.855
2012-02-01 09:00:00,0.972
2012-02-01 09:30:00,0.583
2012-02-01 10:00:00,0.421
2012-02-01 10:30:00,0.294
2012-02-01 11:00:00,0.457
2012-02-01 11:30:00,0.186
2012-02-01 12:00:00,0.558
2012-02-01 12:30:00,1.699
2012-02-01 13:00:00,1.909
2012-02-01 13:30:00,1.45
2012-02-01 14:00:00,0.92
2012-02-01 14:30:00,0.61
2012-02-01 15:00:00,0.725
2012-02-01 15:30:00,1.516
2012-02-01 16:00:00,1.503
2012-02-01 16:30:00,1.457
2012-02-01 17:00:00,1.143
2012-02-01 17:30:00,1.476
2012-02-01 18:00:00,0.916
2012-02-01 18:30:00,0.701
2012-02-01 19:00:00,0.762
2012-02-01 19:30:00,1.06
2012-02-01 20:00:00,1.022
2012-02-01 20:30:00,1.064
2012-02-01 21:00:00,2.312
2012-02-01 21:30:00,1.866
2012-02-01 22:00:00,1.328
2012-02-01 22:30:00,1.016
2012-02-01 23:00:00,0.945
2012-02-01 23:30:00,0.526
2012-02-02 00:00:00,0.64
2012-02-02 00:30:00,0.757
2012-02-02 01:00:00,0.988
2012-02-02 01:30:00,0.491
2012-02-02 02:00:00,0.165
2012-02-02 02:30:00,0.246
2012-02-02 03:00:00,0.104
2012-02-02 03:30:00,0.138
2012-02-02 04:00:00,0.16
2012-02-02 04:30:00,0.15
2012-02-02 05:00:00,0.031
2012-02-02 05:30:00,0.163
2012-02-02 06:00:00,0.041
2012-02-02 06:30:00,0.186
2012-02-02 07:00:00,0.134
2012-02-02 07:30:00,0.11
2012-02-02 08:00:00,0.431
2012-02-02 08:30:00,0.649
2012-02-02 09:00:00,0.975
2012-02-02 09:30:00,0.802
2012-02-02 10:00:00,0.523
