value,value_diff,value_rolling_mean_3,value_volatility_3,value_ewm_3,value_rolling_mean_6,value_volatility_6,value_ewm_6,value_rolling_mean_12,value_volatility_12,value_ewm_12,value_rolling_mean_24,value_volatility_24,value_ewm_24,drift_flag,time_since_last_spike
1.347,0.0,1.1176666666666666,0.0,1.347,0.9641666666666667,0.0,1.347,0.8405833333333333,0.0,1.347,0.8239583333333332,0.0,1.347,0,1
1.023,-0.32400000000000007,1.1176666666666666,0.0,1.185,0.9641666666666667,0.0,1.2544285714285714,0.8405833333333333,0.0,1.297153846153846,0.8239583333333332,0.0,1.32108,1,0
0.983,-0.039999999999999925,1.1176666666666666,0.19961295883116748,1.084,0.9641666666666667,0.0,1.1768775510204081,0.8405833333333333,0.0,1.2488224852071006,0.8239583333333332,0.0,1.2940336000000001,1,0
0.946,-0.03700000000000003,0.984,0.03850973902793943,1.0150000000000001,0.9641666666666667,0.0,1.1109125364431487,0.8405833333333333,0.0,1.2022344105598544,0.8239583333333332,0.0,1.2661909120000001,1,0
0.773,-0.17299999999999993,0.9006666666666666,0.112099658042892,0.8940000000000001,0.9641666666666667,0.0,1.014366097459392,0.8405833333333333,0.0,1.1361983473967998,0.8239583333333332,0.0,1.2267356390400002,1,0
0.713,-0.06000000000000005,0.8106666666666666,0.12098071471657502,0.8035000000000001,0.9641666666666667,0.22375738349083962,0.9282614981852799,0.8405833333333333,0.0,1.0710909093357537,0.8239583333333332,0.0,1.1856367879168002,0,1
0.715,0.0020000000000000018,0.7336666666666667,0.0340783411176853,0.75925,0.8588333333333334,0.14091758820909,0.8673296415609143,0.8405833333333333,0.0,1.0163076925148686,0.8239583333333332,0.0,1.1479858448834561,0,2
0.695,-0.020000000000000018,0.7076666666666666,0.011015141094571586,0.727125,0.8041666666666666,0.12747457262790363,0.8180926011149388,0.8405833333333333,0.0,0.9668757398202734,0.8239583333333332,0.0,1.1117469772927797,0,3
0.753,0.05800000000000005,0.721,0.029461839725312192,0.7400625000000001,0.7658333333333333,0.09281038016658849,0.799494715082099,0.8405833333333333,0.0,0.9339717798479237,0.8239583333333332,0.0,1.0830472191093574,0,4
0.703,-0.050000000000000044,0.717,0.03143246729100319,0.72153125,0.7253333333333333,0.030709390529065985,0.7719247964872136,0.8405833333333333,0.0,0.8984376598713201,0.8239583333333332,0.0,1.052643441580609,0,5
