value,value_diff,value_rolling_mean_3,value_volatility_3,value_ewm_3,value_rolling_mean_6,value_volatility_6,value_ewm_6,value_rolling_mean_12,value_volatility_12,value_ewm_12,value_rolling_mean_24,value_volatility_24,value_ewm_24,drift_flag,time_since_last_spike
0.534,0.0,0.43566666666666665,0.0,0.534,0.3638333333333333,0.0,0.534,0.33716666666666667,0.0,0.534,0.5630000000000001,0.0,0.534,0,1
0.419,-0.11500000000000005,0.43566666666666665,0.0,0.47650000000000003,0.3638333333333333,0.0,0.5011428571428571,0.33716666666666667,0.0,0.5163076923076924,0.5630000000000001,0.0,0.5248,1,0
0.354,-0.065,0.43566666666666665,0.0911500594258355,0.41525,0.3638333333333333,0.0,0.4591020408163265,0.33716666666666667,0.0,0.4913372781065089,0.5630000000000001,0.0,0.511136,1,0
0.281,-0.07299999999999995,0.35133333333333333,0.06903863652574077,0.348125,0.3638333333333333,0.0,0.4082157434402332,0.33716666666666667,0.0,0.4589776968593537,0.5630000000000001,0.0,0.49272512000000007,1,0
0.273,-0.008000000000000007,0.30266666666666664,0.04463556130859518,0.3105625,0.3638333333333333,0.0,0.3695826738858809,0.33716666666666667,0.0,0.4303657434963762,0.5630000000000001,0.0,0.47514711040000013,1,0
0.322,0.04899999999999999,0.29200000000000004,0.026286878856190393,0.31628125,0.3638333333333333,0.09895335601517853,0.3559876242042006,0.33716666666666667,0.0,0.41369409065077983,0.5630000000000001,0.0,0.46289534156800016,0,1
0.31,-0.01200000000000001,0.3016666666666667,0.02554081700598791,0.313140625,0.3265,0.05392123885817166,0.34284830300300045,0.33716666666666667,0.0,0.39774115362758294,0.5630000000000001,0.0,0.45066371424256013,0,2
0.298,-0.01200000000000001,0.31,0.0120000000000011,0.3055703125,0.30633333333333335,0.02950706130177435,0.3300345021450003,0.33716666666666667,0.0,0.38239636076180095,0.5630000000000001,0.0,0.43845061710315536,0,3
0.314,0.016000000000000014,0.3073333333333333,0.008326663997866142,0.30978515625,0.2996666666666667,0.019356308187944052,0.32545321581785736,0.33716666666666667,0.0,0.3718738437215239,0.5630000000000001,0.0,0.4284945677349029,0,4
0.314,0.0,0.30866666666666664,0.009237604307035456,0.31189257812500004,0.30516666666666664,0.017600189392920462,0.32218086844132665,0.33716666666666667,0.0,0.3629701754566741,0.5630000000000001,0.0,0.41933500231611065,0,5
0.292,-0.02200000000000002,0.30666666666666664,0.012701705922172832,0.3019462890625,0.30833333333333335,0.011201190412927995,0.31355776317237616,0.33716666666666667,0.0,0.35205168692487804,0.5630000000000001,0.0,0.4091482021308218,0,6
0.335,0.04300000000000004,0.31366666666666665,0.02150193789716081,0.31847314453125,0.3105,0.014989996664442697,0.31968411655169726,0.33716666666666667,0.0729979244204722,0.3494283504748968,0.5630000000000001,0.0,0.40321634596035605,1,0
0.389,0.05399999999999999,0.33866666666666667,0.04860384072615411,0.353736572265625,0.32366666666666666,0.03534213726795069,0.3394886546797838,0.32508333333333334,0.04349181392846106,0.35551629655568195,0.5630000000000001,0.0,0.40207903828352753,0,1
0.649,0.26,0.45766666666666667,0.16788488119343367,0.5013682861328125,0.3821666666666667,0.1348293983768624,0.42792046762841696,0.34425,0.10113009173606764,0.4006676355471155,0.5630000000000001,0.0,0.42183271522084537,0,2
1.489,0.8400000000000001,0.8423333333333334,0.5749202843293436,0.9951841430664063,0.578,0.4650212898352074,0.7310860483060122,0.43883333333333335,0.34581993037189784,0.5681033839244823,0.5630000000000001,0.0,0.5072060980031778,0,3
1.64,0.1509999999999998,1.2593333333333332,0.533929146360576,1.3175920715332032,0.799,0.6076719509735494,0.9907757487900087,0.5520833333333334,0.48425096016863245,0.7330105556284081,0.5630000000000001,0.0,0.5978296101629237,0,4
0.784,-0.8559999999999999,1.3043333333333333,0.45690298021936054,1.0507960357666017,0.8810000000000001,0.5566251880754228,0.9316969634214348,0.5946666666666667,0.4799267620894848,0.74085508553173,0.5630000000000001,0.0,0.6127232413498898,0,5
0.543,-0.241,0.989,0.57651626169606,0.796898017883301,0.9156666666666667,0.5211670237713304,0.8206406881581677,0.6130833333333333,0.4726981466843168,0.7104158416037715,0.5630000000000001,0.0,0.6071453820418986,0,6
0.565,0.02199999999999991,0.6306666666666666,0.13324538766251226,0.6809490089416504,0.945,0.48959207509926045,0.7476004915415483,0.6343333333333333,0.4634762587492939,0.6880441736647297,0.5630000000000001,0.0,0.6037737514785467,0,7
0.378,-0.18699999999999994,0.49533333333333335,0.10220730567495227,0.5294745044708252,0.8998333333333334,0.5329418042025476,0.6420003511011059,0.641,0.45874988233835495,0.640345070024002,0.5630000000000001,0.0,0.585711851360263,0,8
0.394,0.016000000000000014,0.44566666666666666,0.10365487607118687,0.4617372522354126,0.7173333333333334,0.47519413576628494,0.5711431079293613,0.6476666666666667,0.454123798366067,0.6024458284818478,0.5630000000000001,0.0,0.570374903251442,0,9
0.683,0.28900000000000003,0.48500000000000004,0.1716595467779168,0.5723686261177063,0.5578333333333333,0.15891559604603459,0.6031022199495438,0.6784166666666667,0.4418021890421371,0.6148387779461789,0.5630000000000001,0.0,0.5793849109913267,0,10
1.044,0.361,0.707,0.32566393721135267,0.8081843130588532,0.6011666666666666,0.2450350315091017,0.7290730142496742,0.7410833333333334,0.43529393587099346,0.6808635813390744,0.5630000000000001,0.0,0.6165541181120207,0,11
0.908,-0.136,0.8783333333333334,0.1823193169505997,0.8580921565294266,0.662,0.27157687677709197,0.7801950101783386,0.7888333333333333,0.41777393480931835,0.7158076457484476,0.5630000000000001,0.37314864738261916,0.6398697886630591,0,12
0.985,0.07699999999999996,0.9790000000000001,0.06819824044650946,0.9215460782647134,0.7320000000000001,0.2947168132292418,0.8387107215559562,0.8384999999999999,0.40100997493828,0.7572218540948402,0.5817916666666666,0.3828546073411144,0.6674802055700144,0,13
0.872,-0.11299999999999999,0.9216666666666667,0.057726366015307444,0.8967730391323567,0.8143333333333334,0.23995888536719473,0.8482219439685401,0.8570833333333333,0.39657246462275925,0.7748800303879417,0.6006666666666667,0.3856364210955215,0.6838417891244133,0,14
0.727,-0.14500000000000002,0.8613333333333334,0.12933032642552647,0.8118865195661784,0.8698333333333332,0.1416805091276373,0.8135871028346715,0.7935833333333333,0.3436677725344462,0.7675138718667199,0.6162083333333334,0.38276874380216064,0.6872944459944602,0,15
0.505,-0.22199999999999998,0.7013333333333334,0.18484137343498938,0.6584432597830892,0.8401666666666667,0.19661273271755955,0.7254193591676225,0.699,0.22536636838712207,0.7271271223487631,0.6255416666666668,0.3769261234462689,0.6727108903149034,0,16
0.729,0.22399999999999998,0.6536666666666667,0.1287529934927075,0.6937216298915445,0.7876666666666666,0.17178785366453153,0.7264423994054446,0.6944166666666667,0.22403589742122434,0.7274152573720303,0.6445416666666667,0.36980840858202657,0.6772140190897111,0,17
0.404,-0.32499999999999996,0.5459999999999999,0.16633400133466353,0.5488608149457723,0.7036666666666668,0.21814643399942726,0.6343159995753176,0.6828333333333333,0.23585775117192737,0.6776590639301794,0.6479583333333333,0.3670675188651227,0.6553568975625342,0,18
0.426,0.021999999999999964,0.5196666666666667,0.1816214010884543,0.48743040747288613,0.6104999999999999,0.19173393022623766,0.5747971425537982,0.67125,0.2453913849714,0.638942284863998,0.6527916666666667,0.36316698508808737,0.6370083457575315,0,19
0.39,-0.035999999999999976,0.4066666666666667,0.01814754345175142,0.43871520373644307,0.5301666666666667,0.1583204556166588,0.5219979589669987,0.67225,0.2441088151549707,0.6006434718079983,0.656625,0.35972849816396874,0.617247678096929,0,20
0.466,0.07600000000000001,0.42733333333333334,0.038017539811686964,0.45235760186822155,0.48666666666666664,0.1259740714062478,0.5059985421192849,0.6782499999999999,0.23744171533624459,0.5799290915298447,0.6629583333333333,0.35473743862513146,0.6051478638491747,0,21
0.812,0.34600000000000003,0.556,0.22493554632382998,0.6321788009341108,0.5378333333333334,0.1839265251851033,0.5934275300852034,0.6890000000000001,0.24057582437295585,0.615632308217561,0.6837083333333333,0.34793783542299717,0.6216960347412408,0,22
0.912,0.09999999999999998,0.73,0.23403418553707034,0.7720894004670554,0.5683333333333334,0.2310927663659476,0.6844482357751454,0.6779999999999999,0.22540791306590657,0.6612273377225516,0.7095416666666668,0.34052784846427797,0.6449203519619416,0,23
0.936,0.02400000000000002,0.8866666666666667,0.06576726642740455,0.8540447002335277,0.657,0.25613355891019013,0.7563201684108181,0.6803333333333333,0.22813366629449877,0.7035000549960052,0.7345833333333335,0.3338193883793617,0.6682067238049862,0,24
0.676,-0.26,0.8413333333333334,0.14368484030451234,0.7650223501167639,0.6986666666666667,0.2300457925428468,0.7333715488648701,0.6545833333333334,0.20708691997381792,0.6992692773043121,0.7465416666666668,0.3259491797100022,0.6688301859005874,0,25
0.66,-0.016000000000000014,0.7573333333333334,0.15493654615142685,0.7125111750583819,0.7436666666666666,0.17814338793978998,0.712408249189193,0.6369166666666667,0.19557582037448182,0.6932278500267256,0.747,0.3258137638216843,0.6681237710285404,0,26
1.617,0.957,0.9843333333333334,0.5479638065906662,1.164755587529191,0.9355000000000001,0.3531253318582509,0.9708630351351378,0.7110833333333334,0.344725044144759,0.8353466423303062,0.7523333333333334,0.3392580993447534,0.7440338693462571,1,0
2.837,1.2200000000000002,1.7046666666666666,1.091144506164666,2.0008777937645954,1.273,0.8414867794564571,1.5040450250965272,0.9054166666666666,0.6961618748973588,1.1432933127410283,0.8022083333333333,0.516905169939463,0.9114711597985566,0,1
3.905,1.0679999999999996,2.7863333333333333,1.1448411825809433,2.952938896882298,1.7718333333333334,1.3300071303067014,2.1900321607832334,1.1700833333333334,1.1060515735413665,1.5681712646270238,0.9322500000000001,0.8173796015582224,1.1509534670146722,0,2
