timestamp,consumption_kwh
2012-02-01 00:00:00,0.544
2012-02-01 00:00:00,0.563
2012-02-01 00:00:00,0.767
2012-02-01 00:00:00,0.378
2012-02-01 00:00:00,0.553
2012-02-01 00:00:00,0.549
2012-02-01 00:00:00,1.04
2012-02-01 00:00:00,0.534
2012-02-01 00:00:00,1.251
2012-02-01 00:30:00,0.419
2012-02-01 00:30:00,0.353
2012-02-01 00:30:00,0.637
2012-02-01 00:30:00,1.461
2012-02-01 00:30:00,0.539
2012-02-01 00:30:00,0.581
2012-02-01 00:30:00,0.784
2012-02-01 00:30:00,0.55
2012-02-01 00:30:00,0.397
2012-02-01 01:00:00,0.555
2012-02-01 01:00:00,0.424
2012-02-01 01:00:00,0.199
2012-02-01 01:00:00,0.318
2012-02-01 01:00:00,0.77
2012-02-01 01:00:00,0.817
2012-02-01 01:00:00,0.465
2012-02-01 01:00:00,0.266
2012-02-01 01:00:00,0.354
2012-02-01 01:30:00,0.549
2012-02-01 01:30:00,0.781
2012-02-01 01:30:00,0.288
2012-02-01 01:30:00,0.782
2012-02-01 01:30:00,0.115
2012-02-01 01:30:00,0.74
2012-02-01 01:30:00,0.281
2012-02-01 01:30:00,0.265
2012-02-01 01:30:00,0.321
2012-02-01 02:00:00,0.094
2012-02-01 02:00:00,0.347
2012-02-01 02:00:00,0.273
2012-02-01 02:00:00,0.144
2012-02-01 02:00:00,0.35
2012-02-01 02:00:00,0.296
2012-02-01 02:00:00,0.755
2012-02-01 02:00:00,0.475
2012-02-01 02:00:00,0.544
2012-02-01 02:30:00,0.241
2012-02-01 02:30:00,0.322
2012-02-01 02:30:00,0.203
2012-02-01 02:30:00,0.132
2012-02-01 02:30:00,0.79
2012-02-01 02:30:00,0.311
2012-02-01 02:30:00,0.552
2012-02-01 02:30:00,0.061
2012-02-01 02:30:00,0.225
2012-02-01 03:00:00,0.276
2012-02-01 03:00:00,0.105
2012-02-01 03:00:00,0.31
2012-02-01 03:00:00,0.245
2012-02-01 03:00:00,0.768
2012-02-01 03:00:00,0.553
2012-02-01 03:00:00,0.102
2012-02-01 03:00:00,0.233
2012-02-01 03:00:00,0.074
2012-02-01 03:30:00,0.162
2012-02-01 03:30:00,0.726
2012-02-01 03:30:00,0.551
2012-02-01 03:30:00,0.273
2012-02-01 03:30:00,0.108
2012-02-01 03:30:00,0.298
2012-02-01 03:30:00,0.298
2012-02-01 03:30:00,0.182
2012-02-01 03:30:00,0.475
2012-02-01 04:00:00,0.078
2012-02-01 04:00:00,0.089
2012-02-01 04:00:00,0.142
2012-02-01 04:00:00,0.468
2012-02-01 04:00:00,0.232
2012-02-01 04:00:00,0.314
2012-02-01 04:00:00,0.768
2012-02-01 04:00:00,0.561
2012-02-01 04:00:00,0.269
2012-02-01 04:30:00,0.53
2012-02-01 04:30:00,0.554
2012-02-01 04:30:00,0.139
2012-02-01 04:30:00,0.087
2012-02-01 04:30:00,0.24
2012-02-01 04:30:00,0.314
2012-02-01 04:30:00,0.283
2012-02-01 04:30:00,0.092
2012-02-01 04:30:00,0.771
2012-02-01 05:00:00,0.145
2012-02-01 05:00:00,0.105
2012-02-01 05:00:00,0.552
2012-02-01 05:00:00,0.047
2012-02-01 05:00:00,0.468
2012-02-01 05:00:00,0.319
2012-02-01 05:00:00,0.292
2012-02-01 05:00:00,0.767
2012-02-01 05:00:00,0.263
2012-02-01 05:30:00,0.335
2012-02-01 05:30:00,0.256
2012-02-01 05:30:00,0.074
2012-02-01 05:30:00,0.11
2012-02-01 05:30:00,0.095
2012-02-01 05:30:00,0.278
2012-02-01 05:30:00,0.502
2012-02-01 05:30:00,0.779
2012-02-01 05:30:00,0.56
2012-02-01 06:00:00,0.224
2012-02-01 06:00:00,0.767
2012-02-01 06:00:00,0.548
2012-02-01 06:00:00,0.277
2012-02-01 06:00:00,0.565
2012-02-01 06:00:00,0.083
2012-02-01 06:00:00,0.162
2012-02-01 06:00:00,0.389
2012-02-01 06:00:00,0.122
2012-02-01 06:30:00,0.758
2012-02-01 06:30:00,0.426
2012-02-01 06:30:00,0.31
2012-02-01 06:30:00,0.649
2012-02-01 06:30:00,0.173
2012-02-01 06:30:00,1.042
2012-02-01 06:30:00,0.368
2012-02-01 06:30:00,0.522
2012-02-01 06:30:00,0.158
2012-02-01 07:00:00,0.536
2012-02-01 07:00:00,0.751
2012-02-01 07:00:00,0.37
2012-02-01 07:00:00,1.489
2012-02-01 07:00:00,0.141
2012-02-01 07:00:00,0.214
2012-02-01 07:00:00,1.565
2012-02-01 07:00:00,1.406
2012-02-01 07:00:00,0.556
2012-02-01 07:30:00,1.64
2012-02-01 07:30:00,0.41
2012-02-01 07:30:00,1.928
